Продукт,Білки,Жири,Вуглеводи,ккал
Сметана 15%,3,15,"2,9",163
Сметана 20%,3,20,"2,9",208
Сирки з сирної маси,"7,3",23,"27,6",344
Сир голландський,"26,4","26,5",0,352
Сир пошехонський,"26,4","26,3",0,348
Сир російський,"24,1","29,8","0,4",366
Сир сулугуні,20,"24,2",0,293
Сир жирний,14,18,"1,9",236
Сир нежирний,"18,2","0,6","1,8",89
Сир напівжирний,"16,5",9,"1,9",156
Омлет,"9,7","15,5","1,7",181
Яйце куряче,"12,7","11,1","0,6",153
Яйце перепелине,"11,9","13,3","0,8",170
страусине Яйце,"12,4","11,5","0,8",118
качине Яйце,"13,5","14,1","0,2",176
Яєчний порошок,"45,3","37,3","5,1",545
Ковбаса варена Докторська,"13,4","22,9",0,257
Ковбаса варена Аматорська,"12,5","28,3",0,311
Ковбаса варена Молочна,"11,1","22,5",0,243
Ковбаса напівкопчена Аматорська,"17,6","39,1",0,428
Ковбаса напівкопчена Московська,"19,1","36,1",0,402
Ковбаса напівкопчена Сервелат,"16,1","40,2",0,423
Ковбаса сирокопчена Аматорська,"20,6","47,8",0,511
Ковбаса сирокопчена Московська,"24,3","41,6",0,476
Ковбаса сирокопчена Сервелат,"24,1","40,2",0,453
Ковбаски мисливські,"27,1","24,6",0,325
Кров’янка,"10,6","17,8","14,5",261
Салямі,"21,3","53,6","1,1",576
Сардельки Яловичі,"11,1","18,2","1,6",215
Сардельки Свинячі,"10,1","31,8","1,7",330
Сосиски Яловичі,"10,3","20,3","0,9",229
Курячі Сосиски,"10,6","22,1","3,3",242
Сосиски Аматорські,"9,8","30,1","0,4",318
Сосиски Молочні,"11,3","23,9","1,1",260
Свинячі Сосиски,"9,2","23,2","4,5",284
Баранина,"16,2","15,3",0,201
Баранячі Нирки,"13,4","2,6",0,78
Бараняча Печінка,"18,9","2,8",0,102
Бараняче Серце,"13,6","2,7",0,85
Яловичина,"18,7","12,6",0,191
Яловичі Мізки,"9,3","9,6",0,126
Яловича Печінка,"17,6","3,2",0,100
Яловичі Нирки,"12,4","1,9",0,67
Вим’я Яловиче,"12,1","13,8",0,176
Яловиче Серце,"15,2","3,1",0,89
Яловичий Язик,"13,4","12,1",0,160
Конина,"20,3","7,1",0,149
Кролик,"20,6","12,8",0,197
Свинина нежирна,"16,3","27,9",0,318
Свинина жирна,"11,6","49,1",0,484
Свинячі нирки,"13,2","3,2",0,84
Свиняча печінка,"18,6","3,5",0,105
Свиняче серце,"15,2","3,1",0,87
Свинячий язик,"14,4","16,5",0,203
Телятина,"19,9","1,1",0,91
Гусяче м’ясо,"16,4","33,1",0,359
Індичка,"21,1","12,3","0,6",192
Кури,"20,4","8,6","0,8",161
Курчата,"18,5","7,9","0,5",159
Качки,"16,4","61,3",0,348
Бички,"12,7","8,2","5,1",147
Горбуша,"21,2","7,1",0,151
Кальмар,"18,2","0,2",0,77
Камбала,16,"2,5",0,86
Карась,"17,5","1,6",0,84
Короп,16,"3,5",0,95
Кета,"22,1","5,8",0,138
Килька,"14,3","9,2",0,142
Корюшка,"15,3","3,3",0,93
Крабове м’ясо,16,"0,9",0,67
Крабові палички,"17,9","2,1",0,73
Краснопірка,"18,5","3,1",0,106
Креветка,18,"0,9",0,85
Крижана,"15,6","1,3",0,76
Лящ,"17,2","4,2",0,109
Лосось,"19,2","13,8",0,200
Макрель,"20,2","3,6",0,111
Мідії варені,"9,7","1,6",0,53
Минтай,"15,7","0,6",0,67
Мойва,"13,1","11,7",0,159
Навага,"16,71","1,3",0,78
Минь,"18,6","0,8",0,85
Окунь морський,"17,4","5,5",0,123
Окунь річковий,"18,3","0,7",0,80
Осетер,"16,5","10,5",0,161
Восьминіг,"18,5",0,0,74
Палтус,"18,5","3,2",0,106
Плотва,"18,5","0,4",0,108
Раки варені,"20,3","1,2","1,1",96
Сазан,"18,1","5,2",0,119
Сайра,"18,3","20,5",0,257
Салака,"17,1","5,8",0,124
Оселедець,"17,3","19,9",0,248
Сьомга,"20,9","15,3",0,222
Сиг,19,"7,3",0,141
Скумбрія,18,"9,5",0,158
Сом,"16,7","8,4",0,141
Ставрида,18,"5,3",0,119
Стерлядь,"17,3","6,3",0,126
Судак,19,"0,7",0,81
Тріска,"17,7","0,5",0,76
Тунець,"21,7","1,3",0,95
Вугільна риба,"13,3","11,4",0,153
Вугор морський,"14,2","30,7",0,331
Устриці,"14,4","0,3","6,2",91
Форель,"19,6","2,1",0,99
Хек,"16,4","2,3",0,84
Щука,"18,2","0,8",0,83
Мова морський,"10,3","5,3",0,89
Баклажани,"0,6","0,1","7,5",22
Боби,"6,1","0,1","8,1",59
Бруква,"1,2","0,1","8,4",38
Горошок зелений,"5,4","0,2","13,6",75
Кабачки,"0,8","0,3","5,9",30
Капуста білокачанна,"1,9",0,"5,7",31
Капуста червонокачанна,"1,9",0,"6,3",34
Капуста цвітна,"2,7",0,"5,2",30
Картопля варена,2,"0,3","16,5",80
Картопля смажена,"2,6","9,7","23,5",198
Картопля молодий,"2,2","0,3","12,5",57
Цибуля зелена (перо),"1,4",0,"4,2",21
Цибуля порей,"3,2",0,"7,1",38
Цибуля ріпчаста,"1,6",0,"9,3",41
Моркву,"1,3","0,1","6,3",29
Огірки грунтові,"0,7",0,"3,1",15
Огірки парникові,"0,7",0,"1,6",9
Оливки,"0,6","10,2","6,7",111
Перець зелений солодкий,"1,2",0,"4,8",24
Перець червоний солодкий,"1,2",0,"5,5",26
Петрушка (зелень),"3,8",0,8,45
Петрушка (корінь),"1,6",0,"11,2",48
Редис,"1,5",0,"4,2",22
Редька,"1,7",0,"7,1",33
Ріпа,"1,6",0,"5,8",27
Салат,"1,6",0,"2,1",15
Буряк,"1,7",0,"10,5",46
Томати (ґрунтові),"0,7",0,"4,1",19
Томати (парникові),"0,7",0,"2,6",12
Квасоля,"4,4",0,"4,4",36
Хрін,"2,6",0,"16,1",70
Часник,"6,6",0,"21,1",103
Шпинат,"2,5",0,"2,6",22
Щавель,"1,6",0,"5,5",29
Абрикоси,"0,7",0,"10,1",44
Айва,"0,6",0,"8,7",37
Алича,"0,3",0,"7,6",35
Ананас,"0,3",0,"11,9",49
Апельсин,"0,8",0,"8,6",38
Банани,"1,7",0,"22,1",87
Брусниця,"0,6",0,"8,8",42
Виноград,"0,5",0,"17,8",73
Вишня,"0,9",0,"11,1",46
Гранат,"0,9",0,"11,9",53
Грейпфрут,"0,8",0,"7,5",37
Груша,"0,5",0,"10,6",41
Лохина,"1,1",0,"7,4",35
Диня,"0,8","0,3","7,3",34
Ожина,"1,9",0,"5,1",31
Суниця,"1,9",0,"7,1",40
Інжир,"0,9",0,"13,7",57
Ківі,1,"0,7","9,7",46
Кизил,"1,1",0,"9,4",42
Полуниця,"0,6","0,4",7,30
Журавлина,"0,7",0,"4,9",27
Агрус,"0,8",0,"9,7",43
Лимон,"0,9",0,"3,3",30
Малина,"0,7",0,"9,2",43
Мандарин,"0,9",0,"8,8",39
Манго,"0,6","0,4","11,8",69
Морошка,"0,9",0,"6,9",33
Обліпиха,"0,8",0,"5,6",31
Персики,"0,9",0,"10,1",42
Памело,"0,6","0,1","6,1",29
Горобина,"1,6",0,"12,2",57
Зливу,"0,8",0,"9,7",41
Смородина біла,"0,4",0,"8,5",37
Смородина червона,"0,6",0,"8,7",39
чорна Смородина,"1,0",0,"8,0",38
Хурма,"0,7",0,"15,7",61
Черешня,"1,3",0,"12,5",54
Чорниця,"1,2",0,"8,8",41
Шовковиця,"0,6",0,"12,5",50
Шипшина свіжий,"1,5",0,"24,2",106
Шипшина сушена,"4,5",0,"60,1",259
Яблука,"0,5",0,"11,4",48
Арахіс,"26,2","45,3","9,9",555
Волоський горіх,"13,5","61,5","10,6",662
Родзинки з кісточкою,"1,7",0,"70,7",273
"Родзинки, кишмиш","2,5",0,"71,4",285
Кешью,"25,8","54,3","13,3",647
Курага,"5,7",0,"65,3",270
Мигдаль,"18,3","57,9","13,4",643
Насіння соняшнику,"20,9","52,5","5,4",582
Урюк,"5,3",0,"67,9",279
Фініки,"2,5","0,4","69,6",277
Фісташки,20,"50,5","7,3",555
Фундук,"16,3","66,7","9,8",701
Чорнослив,"2,7",0,"65,3",262
Яблука сушені,"3,1",0,"68,3",275
Варення,"0,4","0,2","74,5",286
Вафлі,"8,2","19,8","53,1",425
Гематоген,"6,2","2,8","75,5",352
Драже фруктове,"3,7","10,3","73,4",388
Зефір,"0,7",0,"77,3",295
Ірис,"3,1","7,7","81,2",384
Карамель,0,"0,2","77,3",291
Цукерки шоколадні,"3,9","39,7","54,6",576
Мармелад,0,"0,2","77,1",289
Мед,"0,6",0,"80,5",312
Морозиво пломбір,"3,6","15,1","20,5",223
Морозиво вершкове,"3,6",10,"19,5",182
Морозиво ескімо,"3,6",20,"19,5",278
Пастила,"0,6",0,"80,1",301
Печиво вівсяне,"6,5","14,1","71,4",430
Печиво здобне,"10,5","5,2",76,447
листкове Тістечко,"5,7","38,3","46,8",543
Тістечко бісквітне,"4,9","9,1","84,1",338
Пряники,"4,4","2,9","77,1",333
Цукор,"0,2",0,"99,6",377
Халва соняшникова,"11,4","29,3","54,6",519
Шоколад темний,"5,2","35,6","52,4",546
Шоколад молочний,"6,7","35,6","52,4",552
Бублики,"16,4","1,1","69,7",342
Батон нарізний,"9,4","2,7","50,7",261
Бублики,"16,4","1,1","69,7",342
Булочка,"7,4","1,8","43,7",218
Лаваш вірменський,"7,7","1,1","47,8",239
Борошно пшеничне вищого сорту,"10,4","0,8","74,5",324
Борошно пшеничне I сорту,"10,6","1,4","73,6",329
Борошно пшеничне II сорту,"11,6","1,9","70,7",328
Борошно житнє,"6,8","1,2","76,8",321
Сушіння,"11,1",1,"73,2",335
Сухарі пшеничні,"11,6","1,8","72,1",327
Хліб житній,"4,7","0,6","49,5",210
Хліб пшеничний з борошна I сорту,"7,4","2,2",53,246
